plot_id,range_number,rep_number
Guard,1,1
#1101,1,1
1101,1,1
1102,1,1
1103,1,1
1104,1,1
#1105,1,1
1105,1,1
1106,1,1
1107,1,1
1108,1,1
1109,1,1
#1110,1,1
1110,1,1
#1111,1,1
1111,1,1
1112,1,1
1113,1,1
1114,1,1
Guard,1,1
1115,1,1
1116,1,1
#1117,1,1
1117,1,1
1118,1,1
#1119,1,1
1119,1,1
1120,1,1
1121,1,1
#1122,1,1
1122,1,1
1123,1,1
1124,1,1
1125,1,1
1126,1,1
#1127,1,1
1127,1,1
1128,1,1
Guard,1,1
Guard,2,1
1129,2,1
#1130,2,1
1130,2,1
#1131,2,1
1131,2,1
1132,2,1
1133,2,1
1134,2,1
1135,2,1
1136,2,1
1137,2,1
#1138,2,1
1138,2,1
1139,2,1
1140,2,1
1141,2,1
#1142,2,1
1142,2,1
Guard,2,1
#1143,2,1
1143,2,1
1144,2,1
1145,2,1
#1146,2,1
1146,2,1
1147,2,1
1148,2,1
1149,2,1
#1150,2,1
1150,2,1
1151,2,1
1152,2,1
1153,2,1
1154,2,1
1155,2,1
#1156,2,1
1156,2,1
Guard,2,1
Guard,3,2
1201,3,2
#1202,3,2
1202,3,2
1203,3,2
1204,3,2
1205,3,2
#1206,3,2
1206,3,2
1207,3,2
1208,3,2
1209,3,2
1210,3,2
1211,3,2
#1212,3,2
1212,3,2
#1213,3,2
1213,3,2
1214,3,2
Guard,3,2
#1215,3,2
1215,3,2
#1216,3,2
1216,3,2
1217,3,2
1218,3,2
1219,3,2
1220,3,2
1221,3,2
#1222,3,2
1222,3,2
1223,3,2
1224,3,2
#1225,3,2
1225,3,2
1226,3,2
1227,3,2
1228,3,2
Guard,3,2
Guard,4,2
1229,4,2
1230,4,2
#1231,4,2
1231,4,2
1232,4,2
#1233,4,2
1233,4,2
1234,4,2
1235,4,2
1236,4,2
1237,4,2
#1238,4,2
1238,4,2
1239,4,2
1240,4,2
1241,4,2
#1242,4,2
1242,4,2
Guard,4,2
#1243,4,2
1243,4,2
#1244,4,2
1244,4,2
1245,4,2
1246,4,2
1247,4,2
1248,4,2
1249,4,2
#1250,4,2
1250,4,2
1251,4,2
1252,4,2
1253,4,2
1254,4,2
#1255,4,2
1255,4,2
1256,4,2
Guard,4,2
Guard,5,3
1301,5,3
#1302,5,3
1302,5,3
1303,5,3
1304,5,3
1305,5,3
#1306,5,3
1306,5,3
1307,5,3
#1308,5,3
1308,5,3
1309,5,3
1310,5,3
1311,5,3
#1312,5,3
1312,5,3
1313,5,3
1314,5,3
Guard,5,3
1315,5,3
1316,5,3
1317,5,3
1318,5,3
#1319,5,3
1319,5,3
#1320,5,3
1320,5,3
1321,5,3
1322,5,3
1323,5,3
1324,5,3
#1325,5,3
1325,5,3
#1326,5,3
1326,5,3
1327,5,3
1328,5,3
Guard,5,3
Guard,6,3
1329,6,3
#1330,6,3
1330,6,3
#1331,6,3
1331,6,3
1332,6,3
1333,6,3
1334,6,3
1335,6,3
1336,6,3
1337,6,3
1338,6,3
1339,6,3
#1340,6,3
1340,6,3
#1341,6,3
1341,6,3
1342,6,3
Guard,6,3
1343,6,3
1344,6,3
#1345,6,3
1345,6,3
1346,6,3
1347,6,3
#1348,6,3
1348,6,3
1349,6,3
1350,6,3
#1351,6,3
1351,6,3
1352,6,3
1353,6,3
1354,6,3
#1355,6,3
1355,6,3
1356,6,3
Guard,6,3
